銷售單號,SKU,客戶,出貨量,出貨日
SO-20250810-05815,S-1045,C-016,4,2025-08-10
SO-20250810-05816,S-1045,C-038,5,2025-08-10
SO-20250810-05817,S-1045,C-040,4,2025-08-10
SO-20250810-05818,S-1046,C-026,3,2025-08-10
SO-20250810-05819,S-1046,C-037,5,2025-08-10
SO-20250810-05820,S-1047,C-010,2,2025-08-10
SO-20250810-05821,S-1047,C-002,3,2025-08-10
SO-20250810-05822,S-1047,C-001,4,2025-08-10
SO-20250810-05823,S-1048,C-006,2,2025-08-10
SO-20250810-05824,S-1048,C-003,2,2025-08-10
SO-20250810-05825,S-1048,C-037,3,2025-08-10
SO-20250810-05826,S-1048,C-015,2,2025-08-10
SO-20250810-05827,S-1048,C-008,4,2025-08-10
SO-20250810-05828,S-1048,C-031,1,2025-08-10
SO-20250810-05829,S-1048,C-013,6,2025-08-10
SO-20250810-05830,S-1048,C-029,4,2025-08-10
SO-20250810-05831,S-1048,C-003,3,2025-08-10
SO-20250810-05832,S-1048,C-037,4,2025-08-10
SO-20250810-05833,S-1049,C-007,4,2025-08-10
SO-20250810-05834,S-1049,C-004,5,2025-08-10
SO-20250811-05835,S-1002,C-023,3,2025-08-11
SO-20250811-05836,S-1002,C-005,1,2025-08-11
SO-20250811-05837,S-1002,C-036,1,2025-08-11
SO-20250811-05838,S-1002,C-008,1,2025-08-11
SO-20250811-05839,S-1003,C-022,1,2025-08-11
SO-20250811-05840,S-1005,C-008,1,2025-08-11
SO-20250811-05841,S-1005,C-030,6,2025-08-11
SO-20250811-05842,S-1005,C-016,4,2025-08-11
SO-20250811-05843,S-1005,C-030,5,2025-08-11
SO-20250811-05844,S-1005,C-032,4,2025-08-11
SO-20250811-05845,S-1006,C-040,3,2025-08-11
SO-20250811-05846,S-1008,C-023,7,2025-08-11
SO-20250811-05847,S-1011,C-013,1,2025-08-11
SO-20250811-05848,S-1011,C-040,6,2025-08-11
SO-20250811-05849,S-1011,C-024,2,2025-08-11
SO-20250811-05850,S-1011,C-014,2,2025-08-11
SO-20250811-05851,S-1012,C-025,4,2025-08-11
SO-20250811-05852,S-1013,C-026,4,2025-08-11
SO-20250811-05853,S-1013,C-033,5,2025-08-11
SO-20250811-05854,S-1014,C-006,5,2025-08-11
SO-20250811-05855,S-1014,C-022,4,2025-08-11
SO-20250811-05856,S-1014,C-033,4,2025-08-11
SO-20250811-05857,S-1016,C-001,1,2025-08-11
SO-20250811-05858,S-1016,C-001,2,2025-08-11
SO-20250811-05859,S-1016,C-035,5,2025-08-11
SO-20250811-05860,S-1017,C-016,2,2025-08-11
SO-20250811-05861,S-1019,C-009,1,2025-08-11
SO-20250811-05862,S-1019,C-036,5,2025-08-11
SO-20250811-05863,S-1020,C-024,4,2025-08-11
SO-20250811-05864,S-1020,C-023,4,2025-08-11
SO-20250811-05865,S-1021,C-031,2,2025-08-11
SO-20250811-05866,S-1021,C-002,3,2025-08-11
SO-20250811-05867,S-1021,C-014,6,2025-08-11
SO-20250811-05868,S-1022,C-025,7,2025-08-11
SO-20250811-05869,S-1024,C-004,7,2025-08-11
SO-20250811-05870,S-1024,C-028,2,2025-08-11
SO-20250811-05871,S-1024,C-015,5,2025-08-11
SO-20250811-05872,S-1026,C-038,4,2025-08-11
SO-20250811-05873,S-1026,C-005,7,2025-08-11
SO-20250811-05874,S-1026,C-001,5,2025-08-11
SO-20250811-05875,S-1026,C-026,2,2025-08-11
SO-20250811-05876,S-1026,C-032,6,2025-08-11
SO-20250811-05877,S-1028,C-013,4,2025-08-11
SO-20250811-05878,S-1028,C-010,3,2025-08-11
SO-20250811-05879,S-1029,C-015,6,2025-08-11
SO-20250811-05880,S-1030,C-037,1,2025-08-11
SO-20250811-05881,S-1031,C-004,6,2025-08-11
SO-20250811-05882,S-1031,C-035,5,2025-08-11
SO-20250811-05883,S-1031,C-022,2,2025-08-11
SO-20250811-05884,S-1031,C-003,1,2025-08-11
SO-20250811-05885,S-1031,C-025,3,2025-08-11
SO-20250811-05886,S-1031,C-025,4,2025-08-11
SO-20250811-05887,S-1031,C-005,3,2025-08-11
SO-20250811-05888,S-1033,C-031,2,2025-08-11
SO-20250811-05889,S-1034,C-039,3,2025-08-11
SO-20250811-05890,S-1034,C-011,7,2025-08-11
SO-20250811-05891,S-1034,C-012,5,2025-08-11
SO-20250811-05892,S-1035,C-024,2,2025-08-11
SO-20250811-05893,S-1035,C-027,3,2025-08-11
SO-20250811-05894,S-1035,C-011,4,2025-08-11
SO-20250811-05895,S-1035,C-022,4,2025-08-11
SO-20250811-05896,S-1036,C-015,1,2025-08-11
SO-20250811-05897,S-1036,C-007,2,2025-08-11
SO-20250811-05898,S-1036,C-006,4,2025-08-11
SO-20250811-05899,S-1037,C-032,3,2025-08-11
SO-20250811-05900,S-1042,C-027,4,2025-08-11
SO-20250811-05901,S-1042,C-034,6,2025-08-11
SO-20250811-05902,S-1043,C-001,2,2025-08-11
SO-20250811-05903,S-1043,C-020,3,2025-08-11
SO-20250811-05904,S-1043,C-019,2,2025-08-11
SO-20250811-05905,S-1044,C-024,7,2025-08-11
SO-20250811-05906,S-1044,C-017,3,2025-08-11
SO-20250811-05907,S-1045,C-005,6,2025-08-11
SO-20250811-05908,S-1045,C-037,5,2025-08-11
SO-20250811-05909,S-1045,C-023,3,2025-08-11
SO-20250811-05910,S-1045,C-036,1,2025-08-11
SO-20250811-05911,S-1045,C-019,3,2025-08-11
SO-20250811-05912,S-1045,C-008,3,2025-08-11
SO-20250811-05913,S-1046,C-019,5,2025-08-11
SO-20250811-05914,S-1046,C-036,1,2025-08-11
SO-20250811-05915,S-1047,C-029,1,2025-08-11
SO-20250811-05916,S-1047,C-021,4,2025-08-11
SO-20250811-05917,S-1048,C-007,9,2025-08-11
SO-20250811-05918,S-1048,C-019,5,2025-08-11
SO-20250811-05919,S-1048,C-019,1,2025-08-11
SO-20250811-05920,S-1048,C-019,1,2025-08-11
SO-20250811-05921,S-1048,C-034,3,2025-08-11
SO-20250811-05922,S-1048,C-032,5,2025-08-11
SO-20250811-05923,S-1049,C-030,3,2025-08-11
SO-20250812-05924,S-1001,C-028,2,2025-08-12
SO-20250812-05925,S-1002,C-009,4,2025-08-12
SO-20250812-05926,S-1002,C-010,2,2025-08-12
SO-20250812-05927,S-1002,C-014,3,2025-08-12
SO-20250812-05928,S-1002,C-016,5,2025-08-12
SO-20250812-05929,S-1003,C-015,4,2025-08-12
SO-20250812-05930,S-1005,C-002,2,2025-08-12
SO-20250812-05931,S-1005,C-022,7,2025-08-12
SO-20250812-05932,S-1005,C-036,6,2025-08-12
SO-20250812-05933,S-1005,C-006,2,2025-08-12
SO-20250812-05934,S-1005,C-038,1,2025-08-12
SO-20250812-05935,S-1006,C-030,6,2025-08-12
SO-20250812-05936,S-1008,C-031,8,2025-08-12
SO-20250812-05937,S-1008,C-019,5,2025-08-12
SO-20250812-05938,S-1011,C-038,2,2025-08-12
SO-20250812-05939,S-1011,C-012,3,2025-08-12
SO-20250812-05940,S-1011,C-003,5,2025-08-12
SO-20250812-05941,S-1014,C-021,1,2025-08-12
SO-20250812-05942,S-1014,C-002,4,2025-08-12
SO-20250812-05943,S-1014,C-030,5,2025-08-12
SO-20250812-05944,S-1014,C-010,3,2025-08-12
SO-20250812-05945,S-1015,C-007,4,2025-08-12
SO-20250812-05946,S-1017,C-034,3,2025-08-12
SO-20250812-05947,S-1017,C-012,3,2025-08-12
SO-20250812-05948,S-1021,C-029,5,2025-08-12
SO-20250812-05949,S-1021,C-010,3,2025-08-12
SO-20250812-05950,S-1022,C-037,1,2025-08-12
SO-20250812-05951,S-1023,C-014,1,2025-08-12
SO-20250812-05952,S-1024,C-011,1,2025-08-12
SO-20250812-05953,S-1024,C-007,2,2025-08-12
SO-20250812-05954,S-1024,C-018,2,2025-08-12
SO-20250812-05955,S-1024,C-022,3,2025-08-12
SO-20250812-05956,S-1024,C-005,1,2025-08-12
SO-20250812-05957,S-1024,C-038,6,2025-08-12
SO-20250812-05958,S-1024,C-012,4,2025-08-12
SO-20250812-05959,S-1026,C-031,2,2025-08-12
SO-20250812-05960,S-1026,C-020,6,2025-08-12
SO-20250812-05961,S-1026,C-028,2,2025-08-12
SO-20250812-05962,S-1026,C-010,5,2025-08-12
SO-20250812-05963,S-1026,C-035,5,2025-08-12
SO-20250812-05964,S-1026,C-030,1,2025-08-12
SO-20250812-05965,S-1028,C-032,3,2025-08-12
SO-20250812-05966,S-1028,C-003,3,2025-08-12
SO-20250812-05967,S-1028,C-022,2,2025-08-12
SO-20250812-05968,S-1030,C-017,4,2025-08-12
SO-20250812-05969,S-1030,C-017,3,2025-08-12
SO-20250812-05970,S-1031,C-024,4,2025-08-12
SO-20250812-05971,S-1031,C-027,2,2025-08-12
SO-20250812-05972,S-1031,C-002,4,2025-08-12
SO-20250812-05973,S-1031,C-034,4,2025-08-12
SO-20250812-05974,S-1035,C-004,2,2025-08-12
SO-20250812-05975,S-1035,C-037,6,2025-08-12
SO-20250812-05976,S-1035,C-019,3,2025-08-12
SO-20250812-05977,S-1036,C-009,2,2025-08-12
SO-20250812-05978,S-1037,C-019,6,2025-08-12
SO-20250812-05979,S-1037,C-009,3,2025-08-12
SO-20250812-05980,S-1038,C-038,3,2025-08-12
SO-20250812-05981,S-1038,C-003,3,2025-08-12
SO-20250812-05982,S-1039,C-018,6,2025-08-12
SO-20250812-05983,S-1040,C-033,9,2025-08-12
SO-20250812-05984,S-1041,C-008,6,2025-08-12
SO-20250812-05985,S-1042,C-014,1,2025-08-12
SO-20250812-05986,S-1042,C-021,5,2025-08-12
SO-20250812-05987,S-1043,C-007,4,2025-08-12
SO-20250812-05988,S-1044,C-004,6,2025-08-12
SO-20250812-05989,S-1044,C-021,2,2025-08-12
SO-20250812-05990,S-1044,C-018,2,2025-08-12
SO-20250812-05991,S-1044,C-037,4,2025-08-12
SO-20250812-05992,S-1045,C-010,3,2025-08-12
SO-20250812-05993,S-1045,C-015,8,2025-08-12
SO-20250812-05994,S-1046,C-039,8,2025-08-12
SO-20250812-05995,S-1046,C-008,4,2025-08-12
SO-20250813-05996,S-1001,C-018,5,2025-08-13
SO-20250813-05997,S-1001,C-016,3,2025-08-13
SO-20250813-05998,S-1001,C-018,2,2025-08-13
SO-20250813-05999,S-1002,C-034,1,2025-08-13
SO-20250813-06000,S-1002,C-026,2,2025-08-13
SO-20250813-06001,S-1002,C-022,6,2025-08-13
SO-20250813-06002,S-1002,C-037,4,2025-08-13
SO-20250813-06003,S-1002,C-013,5,2025-08-13
SO-20250813-06004,S-1003,C-005,4,2025-08-13
SO-20250813-06005,S-1003,C-023,3,2025-08-13
SO-20250813-06006,S-1004,C-006,4,2025-08-13
SO-20250813-06007,S-1004,C-031,4,2025-08-13
SO-20250813-06008,S-1005,C-021,3,2025-08-13
SO-20250813-06009,S-1005,C-033,3,2025-08-13
SO-20250813-06010,S-1005,C-038,2,2025-08-13
SO-20250813-06011,S-1005,C-001,3,2025-08-13
SO-20250813-06012,S-1009,C-012,6,2025-08-13
SO-20250813-06013,S-1011,C-031,2,2025-08-13
SO-20250813-06014,S-1013,C-028,5,2025-08-13
SO-20250813-06015,S-1013,C-006,6,2025-08-13
SO-20250813-06016,S-1016,C-040,1,2025-08-13
SO-20250813-06017,S-1017,C-003,5,2025-08-13
SO-20250813-06018,S-1017,C-039,1,2025-08-13
SO-20250813-06019,S-1017,C-015,4,2025-08-13
SO-20250813-06020,S-1019,C-026,6,2025-08-13
SO-20250813-06021,S-1019,C-020,5,2025-08-13
SO-20250813-06022,S-1020,C-030,1,2025-08-13
SO-20250813-06023,S-1020,C-014,1,2025-08-13
SO-20250813-06024,S-1021,C-016,1,2025-08-13
SO-20250813-06025,S-1022,C-023,2,2025-08-13
SO-20250813-06026,S-1022,C-006,4,2025-08-13
SO-20250813-06027,S-1023,C-037,1,2025-08-13
SO-20250813-06028,S-1023,C-029,6,2025-08-13
SO-20250813-06029,S-1024,C-027,1,2025-08-13
SO-20250813-06030,S-1024,C-004,5,2025-08-13
SO-20250813-06031,S-1026,C-021,2,2025-08-13
SO-20250813-06032,S-1026,C-011,5,2025-08-13
SO-20250813-06033,S-1026,C-033,4,2025-08-13
SO-20250813-06034,S-1026,C-031,5,2025-08-13
SO-20250813-06035,S-1028,C-014,2,2025-08-13
SO-20250813-06036,S-1028,C-036,6,2025-08-13
SO-20250813-06037,S-1030,C-005,5,2025-08-13
SO-20250813-06038,S-1031,C-023,1,2025-08-13
SO-20250813-06039,S-1031,C-022,7,2025-08-13
SO-20250813-06040,S-1031,C-013,3,2025-08-13
SO-20250813-06041,S-1034,C-023,5,2025-08-13
SO-20250813-06042,S-1035,C-004,1,2025-08-13
SO-20250813-06043,S-1035,C-001,4,2025-08-13
SO-20250813-06044,S-1035,C-022,2,2025-08-13
SO-20250813-06045,S-1036,C-034,3,2025-08-13
SO-20250813-06046,S-1036,C-010,5,2025-08-13
SO-20250813-06047,S-1036,C-016,4,2025-08-13
SO-20250813-06048,S-1038,C-011,7,2025-08-13
SO-20250813-06049,S-1039,C-018,2,2025-08-13
SO-20250813-06050,S-1042,C-033,1,2025-08-13
SO-20250813-06051,S-1042,C-010,6,2025-08-13
SO-20250813-06052,S-1044,C-028,7,2025-08-13
SO-20250813-06053,S-1044,C-006,6,2025-08-13
SO-20250813-06054,S-1044,C-035,1,2025-08-13
SO-20250813-06055,S-1045,C-040,3,2025-08-13
SO-20250813-06056,S-1045,C-032,6,2025-08-13
SO-20250813-06057,S-1045,C-007,1,2025-08-13
SO-20250813-06058,S-1045,C-008,3,2025-08-13
SO-20250813-06059,S-1046,C-014,5,2025-08-13
SO-20250813-06060,S-1046,C-016,6,2025-08-13
SO-20250813-06061,S-1047,C-015,4,2025-08-13
SO-20250813-06062,S-1048,C-030,5,2025-08-13
SO-20250813-06063,S-1048,C-002,5,2025-08-13
SO-20250813-06064,S-1048,C-005,6,2025-08-13
SO-20250813-06065,S-1048,C-038,6,2025-08-13
SO-20250813-06066,S-1048,C-035,2,2025-08-13
SO-20250813-06067,S-1048,C-027,2,2025-08-13
SO-20250813-06068,S-1048,C-007,5,2025-08-13
SO-20250813-06069,S-1048,C-030,5,2025-08-13
SO-20250813-06070,S-1048,C-007,3,2025-08-13
SO-20250813-06071,S-1048,C-011,6,2025-08-13
SO-20250813-06072,S-1049,C-019,1,2025-08-13
SO-20250814-06073,S-1001,C-034,3,2025-08-14
SO-20250814-06074,S-1001,C-040,3,2025-08-14
SO-20250814-06075,S-1001,C-034,3,2025-08-14
SO-20250814-06076,S-1001,C-024,3,2025-08-14
SO-20250814-06077,S-1001,C-037,9,2025-08-14
SO-20250814-06078,S-1001,C-027,1,2025-08-14
SO-20250814-06079,S-1002,C-036,2,2025-08-14
SO-20250814-06080,S-1002,C-014,5,2025-08-14
SO-20250814-06081,S-1003,C-035,7,2025-08-14
SO-20250814-06082,S-1003,C-039,1,2025-08-14
SO-20250814-06083,S-1003,C-034,4,2025-08-14
SO-20250814-06084,S-1003,C-019,3,2025-08-14
SO-20250814-06085,S-1003,C-015,6,2025-08-14
SO-20250814-06086,S-1004,C-039,2,2025-08-14
SO-20250814-06087,S-1004,C-005,4,2025-08-14
SO-20250814-06088,S-1004,C-017,2,2025-08-14
SO-20250814-06089,S-1005,C-038,6,2025-08-14
SO-20250814-06090,S-1005,C-035,4,2025-08-14
SO-20250814-06091,S-1006,C-020,3,2025-08-14
SO-20250814-06092,S-1006,C-023,8,2025-08-14
SO-20250814-06093,S-1011,C-001,3,2025-08-14
SO-20250814-06094,S-1011,C-014,2,2025-08-14
SO-20250814-06095,S-1012,C-033,3,2025-08-14
SO-20250814-06096,S-1012,C-037,3,2025-08-14
SO-20250814-06097,S-1013,C-034,6,2025-08-14
SO-20250814-06098,S-1014,C-003,3,2025-08-14
SO-20250814-06099,S-1014,C-032,3,2025-08-14
SO-20250814-06100,S-1015,C-015,7,2025-08-14
SO-20250814-06101,S-1017,C-030,3,2025-08-14
SO-20250814-06102,S-1019,C-008,5,2025-08-14
SO-20250814-06103,S-1020,C-003,1,2025-08-14
SO-20250814-06104,S-1020,C-039,3,2025-08-14
SO-20250814-06105,S-1021,C-024,6,2025-08-14
SO-20250814-06106,S-1021,C-017,7,2025-08-14
SO-20250814-06107,S-1021,C-040,2,2025-08-14
SO-20250814-06108,S-1021,C-001,9,2025-08-14
SO-20250814-06109,S-1021,C-032,1,2025-08-14
SO-20250814-06110,S-1021,C-040,3,2025-08-14
SO-20250814-06111,S-1021,C-032,6,2025-08-14
SO-20250814-06112,S-1022,C-027,2,2025-08-14
SO-20250814-06113,S-1022,C-014,4,2025-08-14
SO-20250814-06114,S-1022,C-005,6,2025-08-14
SO-20250814-06115,S-1022,C-018,6,2025-08-14
SO-20250814-06116,S-1022,C-028,2,2025-08-14
SO-20250814-06117,S-1022,C-005,5,2025-08-14
SO-20250814-06118,S-1023,C-036,3,2025-08-14
SO-20250814-06119,S-1024,C-008,3,2025-08-14
SO-20250814-06120,S-1024,C-019,1,2025-08-14
SO-20250814-06121,S-1024,C-030,2,2025-08-14
SO-20250814-06122,S-1026,C-031,6,2025-08-14
SO-20250814-06123,S-1026,C-007,2,2025-08-14
SO-20250814-06124,S-1026,C-005,1,2025-08-14
SO-20250814-06125,S-1030,C-014,5,2025-08-14
SO-20250814-06126,S-1030,C-040,2,2025-08-14
SO-20250814-06127,S-1030,C-033,5,2025-08-14
SO-20250814-06128,S-1031,C-019,3,2025-08-14
SO-20250814-06129,S-1033,C-021,4,2025-08-14
SO-20250814-06130,S-1033,C-018,3,2025-08-14
SO-20250814-06131,S-1034,C-036,1,2025-08-14
SO-20250814-06132,S-1034,C-013,3,2025-08-14
SO-20250814-06133,S-1035,C-014,6,2025-08-14
SO-20250814-06134,S-1035,C-018,2,2025-08-14
SO-20250814-06135,S-1035,C-027,2,2025-08-14
SO-20250814-06136,S-1038,C-016,1,2025-08-14
SO-20250814-06137,S-1038,C-011,4,2025-08-14
SO-20250814-06138,S-1040,C-020,2,2025-08-14
SO-20250814-06139,S-1042,C-008,6,2025-08-14
SO-20250814-06140,S-1042,C-008,5,2025-08-14
SO-20250814-06141,S-1042,C-040,4,2025-08-14
SO-20250814-06142,S-1044,C-021,5,2025-08-14
SO-20250814-06143,S-1044,C-028,1,2025-08-14
SO-20250814-06144,S-1045,C-009,4,2025-08-14
SO-20250814-06145,S-1046,C-019,4,2025-08-14
SO-20250814-06146,S-1046,C-002,8,2025-08-14
SO-20250814-06147,S-1047,C-023,7,2025-08-14
SO-20250814-06148,S-1048,C-032,6,2025-08-14
SO-20250814-06149,S-1048,C-010,8,2025-08-14
SO-20250814-06150,S-1048,C-026,3,2025-08-14
SO-20250814-06151,S-1048,C-039,6,2025-08-14
SO-20250814-06152,S-1048,C-034,2,2025-08-14
SO-20250814-06153,S-1048,C-031,6,2025-08-14
SO-20250814-06154,S-1050,C-029,1,2025-08-14
SO-20250815-06155,S-1001,C-022,3,2025-08-15
SO-20250815-06156,S-1001,C-019,3,2025-08-15
SO-20250815-06157,S-1002,C-040,6,2025-08-15
SO-20250815-06158,S-1002,C-038,4,2025-08-15
SO-20250815-06159,S-1002,C-003,4,2025-08-15
SO-20250815-06160,S-1002,C-022,6,2025-08-15
SO-20250815-06161,S-1002,C-002,7,2025-08-15
SO-20250815-06162,S-1002,C-027,2,2025-08-15
SO-20250815-06163,S-1003,C-033,1,2025-08-15
SO-20250815-06164,S-1003,C-026,6,2025-08-15
SO-20250815-06165,S-1003,C-013,4,2025-08-15
SO-20250815-06166,S-1004,C-012,7,2025-08-15
SO-20250815-06167,S-1005,C-018,4,2025-08-15
SO-20250815-06168,S-1005,C-023,4,2025-08-15
SO-20250815-06169,S-1005,C-026,3,2025-08-15
SO-20250815-06170,S-1005,C-008,5,2025-08-15
SO-20250815-06171,S-1006,C-038,3,2025-08-15
SO-20250815-06172,S-1010,C-011,2,2025-08-15
SO-20250815-06173,S-1011,C-008,4,2025-08-15
SO-20250815-06174,S-1011,C-034,1,2025-08-15
SO-20250815-06175,S-1012,C-039,7,2025-08-15
SO-20250815-06176,S-1012,C-025,5,2025-08-15
SO-20250815-06177,S-1012,C-024,1,2025-08-15
SO-20250815-06178,S-1013,C-038,5,2025-08-15
SO-20250815-06179,S-1014,C-004,5,2025-08-15
SO-20250815-06180,S-1015,C-032,5,2025-08-15
SO-20250815-06181,S-1015,C-022,4,2025-08-15
SO-20250815-06182,S-1016,C-021,6,2025-08-15
SO-20250815-06183,S-1017,C-036,4,2025-08-15
SO-20250815-06184,S-1017,C-019,3,2025-08-15
SO-20250815-06185,S-1019,C-017,1,2025-08-15
SO-20250815-06186,S-1020,C-021,1,2025-08-15
SO-20250815-06187,S-1021,C-040,3,2025-08-15
SO-20250815-06188,S-1021,C-006,1,2025-08-15
SO-20250815-06189,S-1021,C-016,3,2025-08-15
SO-20250815-06190,S-1021,C-040,6,2025-08-15
SO-20250815-06191,S-1022,C-021,4,2025-08-15
SO-20250815-06192,S-1022,C-002,4,2025-08-15
SO-20250815-06193,S-1022,C-011,2,2025-08-15
SO-20250815-06194,S-1022,C-030,4,2025-08-15
SO-20250815-06195,S-1022,C-019,6,2025-08-15
SO-20250815-06196,S-1022,C-016,4,2025-08-15
SO-20250815-06197,S-1022,C-036,1,2025-08-15
SO-20250815-06198,S-1024,C-034,1,2025-08-15
SO-20250815-06199,S-1024,C-033,2,2025-08-15
SO-20250815-06200,S-1024,C-023,4,2025-08-15
SO-20250815-06201,S-1024,C-031,2,2025-08-15
SO-20250815-06202,S-1024,C-025,3,2025-08-15
SO-20250815-06203,S-1026,C-015,2,2025-08-15
SO-20250815-06204,S-1026,C-029,4,2025-08-15
SO-20250815-06205,S-1026,C-030,2,2025-08-15
SO-20250815-06206,S-1026,C-036,1,2025-08-15
SO-20250815-06207,S-1026,C-035,5,2025-08-15
SO-20250815-06208,S-1028,C-035,2,2025-08-15
SO-20250815-06209,S-1028,C-019,7,2025-08-15
SO-20250815-06210,S-1028,C-011,1,2025-08-15
SO-20250815-06211,S-1029,C-017,5,2025-08-15
SO-20250815-06212,S-1030,C-001,2,2025-08-15
SO-20250815-06213,S-1031,C-017,2,2025-08-15
SO-20250815-06214,S-1033,C-022,3,2025-08-15
SO-20250815-06215,S-1033,C-028,3,2025-08-15
SO-20250815-06216,S-1033,C-019,3,2025-08-15
SO-20250815-06217,S-1035,C-020,8,2025-08-15
SO-20250815-06218,S-1035,C-011,6,2025-08-15
SO-20250815-06219,S-1037,C-007,5,2025-08-15
SO-20250815-06220,S-1037,C-010,4,2025-08-15
SO-20250815-06221,S-1038,C-013,8,2025-08-15
SO-20250815-06222,S-1039,C-003,4,2025-08-15
SO-20250815-06223,S-1040,C-020,5,2025-08-15
SO-20250815-06224,S-1042,C-012,3,2025-08-15
SO-20250815-06225,S-1042,C-004,5,2025-08-15
SO-20250815-06226,S-1042,C-021,4,2025-08-15
SO-20250815-06227,S-1043,C-025,3,2025-08-15
SO-20250815-06228,S-1045,C-039,4,2025-08-15
SO-20250815-06229,S-1045,C-013,6,2025-08-15
SO-20250815-06230,S-1045,C-007,5,2025-08-15
SO-20250815-06231,S-1046,C-012,2,2025-08-15
SO-20250815-06232,S-1046,C-021,6,2025-08-15
SO-20250815-06233,S-1048,C-017,1,2025-08-15
SO-20250815-06234,S-1048,C-037,3,2025-08-15
SO-20250815-06235,S-1048,C-032,3,2025-08-15
SO-20250815-06236,S-1048,C-017,3,2025-08-15
SO-20250815-06237,S-1048,C-007,3,2025-08-15
SO-20250815-06238,S-1048,C-017,3,2025-08-15
SO-20250815-06239,S-1048,C-006,5,2025-08-15
SO-20250815-06240,S-1048,C-025,4,2025-08-15
SO-20250815-06241,S-1048,C-007,1,2025-08-15
SO-20250815-06242,S-1048,C-031,3,2025-08-15
SO-20250815-06243,S-1048,C-040,5,2025-08-15
SO-20250815-06244,S-1049,C-028,3,2025-08-15
SO-20250815-06245,S-1049,C-030,4,2025-08-15
SO-20250815-06246,S-1050,C-022,3,2025-08-15
SO-20250816-06247,S-1001,C-016,3,2025-08-16
SO-20250816-06248,S-1001,C-015,2,2025-08-16
SO-20250816-06249,S-1002,C-022,4,2025-08-16
SO-20250816-06250,S-1002,C-011,1,2025-08-16
SO-20250816-06251,S-1003,C-015,3,2025-08-16
SO-20250816-06252,S-1003,C-017,1,2025-08-16
SO-20250816-06253,S-1003,C-037,1,2025-08-16
SO-20250816-06254,S-1003,C-007,3,2025-08-16
SO-20250816-06255,S-1004,C-039,6,2025-08-16
SO-20250816-06256,S-1004,C-033,4,2025-08-16
SO-20250816-06257,S-1005,C-006,2,2025-08-16
SO-20250816-06258,S-1005,C-015,2,2025-08-16
SO-20250816-06259,S-1005,C-008,7,2025-08-16
SO-20250816-06260,S-1006,C-038,3,2025-08-16
SO-20250816-06261,S-1006,C-029,4,2025-08-16
SO-20250816-06262,S-1008,C-026,4,2025-08-16
SO-20250816-06263,S-1010,C-005,3,2025-08-16
SO-20250816-06264,S-1011,C-011,2,2025-08-16
SO-20250816-06265,S-1011,C-010,3,2025-08-16
SO-20250816-06266,S-1011,C-027,1,2025-08-16
SO-20250816-06267,S-1012,C-029,5,2025-08-16
SO-20250816-06268,S-1012,C-007,1,2025-08-16
SO-20250816-06269,S-1013,C-012,2,2025-08-16
SO-20250816-06270,S-1014,C-019,5,2025-08-16
SO-20250816-06271,S-1014,C-037,2,2025-08-16
SO-20250816-06272,S-1014,C-015,3,2025-08-16
SO-20250816-06273,S-1014,C-033,7,2025-08-16
SO-20250816-06274,S-1016,C-021,4,2025-08-16
SO-20250816-06275,S-1016,C-014,6,2025-08-16
SO-20250816-06276,S-1017,C-008,1,2025-08-16
SO-20250816-06277,S-1017,C-006,7,2025-08-16
SO-20250816-06278,S-1017,C-004,3,2025-08-16
SO-20250816-06279,S-1017,C-033,6,2025-08-16
SO-20250816-06280,S-1017,C-034,5,2025-08-16
SO-20250816-06281,S-1019,C-028,4,2025-08-16
SO-20250816-06282,S-1020,C-008,2,2025-08-16
SO-20250816-06283,S-1020,C-026,4,2025-08-16
SO-20250816-06284,S-1021,C-033,6,2025-08-16
SO-20250816-06285,S-1021,C-033,5,2025-08-16
SO-20250816-06286,S-1021,C-021,3,2025-08-16
SO-20250816-06287,S-1022,C-005,3,2025-08-16
SO-20250816-06288,S-1022,C-009,1,2025-08-16
SO-20250816-06289,S-1022,C-003,3,2025-08-16
SO-20250816-06290,S-1022,C-017,5,2025-08-16
SO-20250816-06291,S-1022,C-021,5,2025-08-16
SO-20250816-06292,S-1022,C-023,4,2025-08-16
SO-20250816-06293,S-1022,C-039,2,2025-08-16
SO-20250816-06294,S-1022,C-012,6,2025-08-16
SO-20250816-06295,S-1023,C-012,1,2025-08-16
SO-20250816-06296,S-1024,C-014,1,2025-08-16
SO-20250816-06297,S-1024,C-036,5,2025-08-16
SO-20250816-06298,S-1024,C-006,4,2025-08-16
SO-20250816-06299,S-1024,C-017,6,2025-08-16
SO-20250816-06300,S-1024,C-019,6,2025-08-16
SO-20250816-06301,S-1024,C-040,3,2025-08-16
SO-20250816-06302,S-1026,C-009,4,2025-08-16
SO-20250816-06303,S-1026,C-004,2,2025-08-16
SO-20250816-06304,S-1026,C-013,4,2025-08-16
SO-20250816-06305,S-1027,C-031,5,2025-08-16
SO-20250816-06306,S-1028,C-021,5,2025-08-16
SO-20250816-06307,S-1029,C-002,3,2025-08-16
SO-20250816-06308,S-1030,C-025,4,2025-08-16
SO-20250816-06309,S-1030,C-022,3,2025-08-16
SO-20250816-06310,S-1030,C-011,4,2025-08-16
SO-20250816-06311,S-1031,C-029,1,2025-08-16
SO-20250816-06312,S-1031,C-035,4,2025-08-16
SO-20250816-06313,S-1031,C-015,4,2025-08-16
